last_updated_epoch,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
1693000372,200.3,66.5,0.5,5.4,20.2,22.3,2,2
1693000373,297.1,97.3,3.9,16.2,43.9,53.6,3,5
1693000374,397.2,63.7,20.1,38.6,56.4,65.0,3,7
1693000375,433.9,79.4,3.5,8.9,58.3,65.2,3,7
1693000376,310.4,88.0,3.3,11.1,64.1,69.8,3,8
1693000377,200.3,70.1,0.8,5.5,20.0,21.6,2,2
1693000378,350.5,97.3,2.1,11.4,105.5,112.7,4,10
1693000379,367.2,104.4,3.6,14.3,49.7,58.0,3,6
1693000380,343.8,65.8,14.6,37.2,54.7,63.8,3,7
1693000381,257.0,66.5,0.9,2.4,26.2,30.1,2,3
1693000382,343.8,65.8,14.6,37.2,54.7,63.8,3,7
1693000383,397.2,90.8,2.5,10.7,68.1,73.8,4,9
1693000384,407.2,85.1,8.1,20.7,59.4,69.2,3,8
1693000385,250.3,78.7,0.9,2.5,27.3,31.2,2,3
1693000386,300.4,91.6,1.5,4.1,39.2,44.7,2,4
1693000387,273.7,86.6,2.3,10.1,83.8,88.6,4,10
1693000388,240.3,88.0,1.1,4.0,28.9,32.6,2,3
1693000389,205.3,67.2,0.8,1.7,9.9,11.5,1,1
1693000390,263.7,66.5,1.5,3.6,33.3,37.5,2,3
1693000391,198.6,60.1,1.2,1.2,32.8,160.2,2,3
1693000392,181.9,40.1,0.3,0.1,9.7,40.0,1,1
1693000393,193.6,52.9,0.8,0.7,27.1,127.5,2,3
1693000394,200.3,48.6,7.5,22.7,31.7,137.2,2,3
1693000395,185.3,44.0,0.7,0.5,13.3,46.0,1,2
1693000396,180.2,33.3,0.7,0.8,9.3,22.8,1,1
1693000397,227.0,59.4,1.5,0.7,38.4,177.2,2,4
1693000398,196.9,36.8,1.4,1.2,10.1,19.9,1,1
1693000399,188.6,64.4,1.0,2.1,29.6,139.6,2,3
1693000400,181.9,51.5,0.8,2.0,17.0,74.8,2,2
1693000401,247.0,31.5,2.8,4.4,13.5,17.1,1,2
1693000402,198.6,38.6,0.9,0.6,4.6,8.2,1,1
1693000403,203.6,53.6,1.1,0.7,6.3,14.9,1,1
